                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1997,                 3.4009,                  2.008,                0.03217,                0.25502,                0.02331,                0.01024,                 2.4707,                    inf,                 2.2825,             0.00024293,             0.00024293,             0.00024293
                      1,                 1.9329,                 2.4133,                 1.8288,                 0.0024,                0.09397,                0.00122,                0.00038,                    nan,                    nan,                    nan,             0.00049817,             0.00049817,             0.00049817
                      2,                 1.9831,                 2.3482,                 1.8757,                0.00024,                0.01117,                0.00013,                  4e-05,                    nan,                    nan,                    nan,             0.00075137,             0.00075137,             0.00075137
                      3,                   2.06,                 2.4053,                 1.9224,                0.00015,                 0.0202,                  8e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                      4,                 2.0818,                 2.4423,                 1.9281,                0.00383,                0.24048,                0.00191,                 0.0006,                    nan,                    nan,                    nan,              0.0012517,              0.0012517,              0.0012517
                      5,                 2.0432,                 2.4252,                 1.9115,                0.00325,                0.10385,                0.00179,                0.00059,                    nan,                    nan,                    nan,              0.0014007,              0.0014007,              0.0014007
                      6,                 2.0465,                 2.4607,                 1.9367,                0.00144,                0.08244,                 0.0008,                0.00026,                 4.6728,                    inf,                 362.88,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.9997,                  2.358,                 1.8753,                0.01319,                0.18182,                0.00639,                0.00201,                 3.2044,                    inf,                 5.3898,               0.001395,               0.001395,               0.001395
                      8,                 1.9336,                 2.2955,                  1.838,                0.00053,                0.00514,                0.00027,                  5e-05,                 5.1928,                 7.1636,                 13.793,              0.0013894,              0.0013894,              0.0013894
                      9,                 1.9566,                 2.2932,                 1.8332,                0.10382,                0.09415,                0.04305,                0.01406,                 2.8208,                 8.4766,                 3.1078,              0.0013837,              0.0013837,              0.0013837
                     10,                 1.8672,                  2.224,                 1.7847,                0.24458,                0.11539,                0.06186,                0.02108,                 2.6021,                 5.8229,                 2.7575,              0.0013781,              0.0013781,              0.0013781
                     11,                  1.866,                 2.2079,                 1.7785,                0.32692,                0.17017,                0.13074,                 0.0562,                 2.4571,                 3.7041,                 2.6295,              0.0013724,              0.0013724,              0.0013724
                     12,                 1.8256,                 2.1793,                 1.7589,                0.27607,                0.22309,                0.17452,                0.08879,                 2.2335,                  3.146,                 2.4884,              0.0013668,              0.0013668,              0.0013668
                     13,                  1.835,                 2.1293,                 1.7406,                0.30662,                0.21502,                0.16649,                0.08167,                 2.3245,                 2.8737,                 2.5826,              0.0013611,              0.0013611,              0.0013611
                     14,                 1.8076,                  2.117,                 1.7373,                0.14813,                0.20172,                0.09549,                0.04085,                 2.4483,                 3.8368,                 2.4355,              0.0013554,              0.0013554,              0.0013554
                     15,                  1.786,                  2.102,                 1.7263,                 0.2535,                0.27288,                0.20348,                0.09655,                 2.1828,                 2.7109,                 2.2079,              0.0013498,              0.0013498,              0.0013498
                     16,                  1.771,                 2.0698,                 1.7003,                 0.2855,                0.25831,                0.20974,                0.10829,                 2.0997,                  2.521,                 2.2334,              0.0013441,              0.0013441,              0.0013441
                     17,                 1.7653,                 2.0591,                 1.6848,                0.17656,                0.18527,                0.09882,                 0.0375,                 2.5083,                 3.1936,                 2.3804,              0.0013385,              0.0013385,              0.0013385
                     18,                 1.7427,                 2.0309,                 1.7026,                 0.4016,                0.24359,                0.23853,                0.11049,                 2.1283,                 2.4588,                 2.1471,              0.0013328,              0.0013328,              0.0013328
                     19,                 1.7568,                 1.9824,                 1.6652,                0.30907,                0.24924,                0.19905,                 0.0988,                 2.1454,                 2.4878,                  2.124,              0.0013271,              0.0013271,              0.0013271
                     20,                 1.7257,                  1.977,                 1.6691,                 0.3712,                0.22255,                0.19684,                0.09787,                 2.1772,                 2.5697,                 2.2148,              0.0013215,              0.0013215,              0.0013215
                     21,                 1.6848,                 1.9838,                 1.6563,                0.37466,                0.26328,                0.23954,                0.11433,                 2.1386,                 2.7972,                 2.0962,              0.0013158,              0.0013158,              0.0013158
